location_id,index,KLADR,FIAS,OKATO,OKTMO,IFNS,timezone,latitude,longitude,population
92,102321,5000000100000,d177d438-ea69-4169-854c-d4512d7c8ebe,46409000000,46709000,5000,UTC+3,55.4363901,37.7666263,96123
94,140170,5000000200000,582fae29-5955-4dba-9f77-ebf9a8e60827,46405000000,46705000001,5040,UTC+3,55.4255534,38.2640794,21102
95,140180,5000000500000,fd91f393-4820-437f-a50c-907e9856c374,46425000000,46725000001,5040,UTC+3,55.5998408,38.1224185,102729
96,141980,5000000300000,c86ad06c-c721-4a7e-aa06-f622eed83b6f,46418000000,46718000001,5010,UTC+3,56.7417949,37.1757163,70569
97,141070,5000000900000,819d6910-b4d1-474f-ad10-c1fa944dfca4,46434000000,46734000,5018,UTC+3,55.9162558,37.8545224,183452
98,141280,5000000700000,e12cf909-779a-4352-af51-7a2a07668f60,46432000000,46732000001,5038,UTC+3,55.9742303,37.9208755,58594
99,143180,5000000600000,4bae8c68-e107-4352-9d4b-f937f90469ac,46430000000,46730000001,5032,UTC+3,55.7296168,36.8552843,16395
101,143960,5000001600000,e0504cf6-4d81-401c-b18b-434457aaaa21,46464000000,46764000001,5012,UTC+3,55.758236,37.8619443,87195
102,143090,5000001100000,6e8a99b2-e6bd-4169-acb3-f7e6cd53be3b,46505000000,46706000001,5032,UTC+3,55.5978962,37.0395137,36057
103,141055,5000001200000,67c493d4-d141-407e-868b-dafc289503f3,46440000000,46740000001,5000,UTC+3,56.0328745,37.4614671,74350
104,140080,5000001300000,bba16a72-09e1-4f3f-93af-df5ecab6714b,46441000000,46741000,5027,UTC+3,55.5778065,37.9034952,55147
105,142280,5000001400000,9990bc45-c7c1-407e-bdd2-5526e4f742d2,46467000000,46767000001,5043,UTC+3,54.8706614,37.2183307,37308
106,142290,5000001500000,49579edb-77cd-4967-9ef2-5530c4076067,46462000000,46762000001,5043,UTC+3,54.832521,37.6210428,20263
107,141190,5000001900000,13696e0e-4c75-49aa-9c83-0a6faf5074ee,46480000000,46780000001,5050,UTC+3,55.9590154,38.0409171,55449
108,144000,5000002100000,e0b171b6-bf2e-4d68-ab05-4d42ab2b375a,46490000000,46790000,5053,UTC+3,55.7847718,38.4446531,155324
110,140730,5000001700000,377ca4f0-3268-42b4-bf68-af98c3682503,46465000000,46765000001,5049,UTC+3,55.6632504,39.8655434,21265
111,142600,5000002600000,0f2f2d09-8e7a-4356-bd4d-0b055d802e7b,46457000000,46757000001,5034,UTC+3,55.8151729,38.9870711,120620
113,140090,5000002300000,6fa8b59c-cda7-4c98-8b41-e0bcb2867e16,46411000000,46711000,5027,UTC+3,55.6241079,37.8440691,47125
114,140400,5000002700000,b367fb03-29f9-4dac-8d85-01595cfb6ad9,46438000000,46738000001,5022,UTC+3,55.1027797,38.7531734,144642
115,142100,5000002400000,b22cf685-e391-42c8-aab5-a9aadb9193d4,46460000000,46760000001,5074,UTC+3,55.4389588,37.57027,187956
116,141700,5000002900000,dcf522ad-e032-4db9-9dbb-e30d2cddfadb,46416000000,46716000,5047,UTC+3,55.9384901,37.5100527,90976
117,141400,5000003000000,d76255c8-3173-4db5-a39b-badd3ebdf851,46483000000,46783000,5047,UTC+3,55.8886705,37.4304154,207125
118,142200,5000002800000,efc02a6a-273b-4a49-aef9-a5606ef8591c,46470000000,46770000001,5043,UTC+3,54.9225396,37.4032682,126496
125,143600,5000300100000,ca8fb626-709c-4851-a8d6-cbfd592c3bf8,46205501000,46605101001,5004,UTC+3,56.0358121,35.9585027,23386
127,140200,5000400100000,555e9f1b-627a-4444-b19e-27fb9d67a093,46206501000,46606101001,5000,UTC+3,55.3071305,38.7026949,91301
129,141840,5000500200000,4e503ad8-0372-4434-888c-f111ed78040c,46208505000,46608105001,5007,UTC+3,56.2889858,37.4831016,13248
136,143530,5000900200000,05b3833e-37b3-470e-bf21-78adf1eec36f,46218503000,46618103001,5017,UTC+3,55.8704718,37.1244724,29280
146,141650,5001100200000,a8ad4e79-a4c9-4f2e-ade5-a7fa3ab0da03,46221503000,46621103001,5020,UTC+3,56.336141,36.5251316,10642
151,142700,5001400100000,9a72b510-9413-41d8-b076-576fbfd78404,46228501000,46628101001,5003,UTC+3,55.5518323,37.7062062,56798
163,143330,5002000300000,abda86de-97b7-4098-9d09-e1835c6e8797,46238505000,46638105001,5030,UTC+3,55.3674668,36.1563083,5368
