БАЛАНС (актив);1600
БАЛАНС (пассив);1700
Нематериальные активы;1110
Результаты исследований и разработок;1120
Нематериальные поисковые активы;1130
Материальные поисковые активы;1140
Основные средства;1150
Доходные вложения в материальные ценности;1160
Финансовые вложения;1170
Отложенные налоговые активы;1180
Прочие внеоборотные активы;1190
Итого внеоборотных активов;1100
Запасы;1210
Налог на добавленную стоимость по приобретенным ценностям;1220
Дебиторская задолженность;1230
Финансовые вложения;1240
Денежные средства и денежные эквиваленты;1250
Прочие оборотные активы;1260
Итого оборотных активов;1200
Уставный капитал;1310
Собственные акции, выкупленные у акционеров;1320
Переоценка внеоборотных активов;1340
Добавочный капитал (без переоценки);1350
Резервный капитал;1360
Нераспределенная прибыль (непокрытый убыток);1370
ИТОГО капитал;1300
Долгосрочные заемные средства;1410
Отложенные налоговые обязательства;1420
Оценочные обязательства;1430
Прочие долгосрочные обязательства;1450
ИТОГО долгосрочных обязательств;1400
Краткосрочные заемные обязательства;1510
Краткосрочная кредиторская задолженность;1520
Доходы будущих периодов;1530
Оценочные обязательства;1540
Прочие краткосрочные обязательства;1550
ИТОГО краткосрочных обязательств;1500
Выручка;2110
Себестоимость продаж;2120
Валовая прибыль (убыток);2100
Коммерческие расходы;2210
Управленческие расходы;2220
Прибыль (убыток) от продаж;2200
Доходы от участия в других организациях;2310
Проценты к получению;2320
Проценты к уплате;2330
Прочие доходы;2340
Прочие расходы;2350
Прибыль (убыток) до налогообложения;2300
Налог на прибыль;2410
Текущий налог на прибыль;2411
Отложенный налог на прибыль;2412
Прочее;2460
Базовая прибыль (убыток) на акцию;2900
Разводненная прибыль (убыток) на акцию;2910
Чистая прибыль (убыток);2400
Результат от переоценки внеоборотных активов, не включаемый в чистую прибыль (убыток);2510
Результат от прочих операций, не включаемый в чистую прибыль (убыток) периода;2520
Налог на прибыль от операций, результат которых не включается в чистую прибыль (убыток) периода;2530
Совокупный финансовый результат периода;2500
Величина капитала на 31 декабря года, предшествующего предыдущему;3100
Увеличение капитала - всего;3210
Чистая прибыль;3211
Переоценка имущества;3212
Доходы, относящиеся непосредственно на увеличение капитала;3213
Дополнительный выпуск акций;3214
Увеличение номинальной стоимости акций;3215
Реорганизация юридического лица;3216
Уменьшение капитала - всего;3220
Убыток;3221
Переоценка имущества;3222
Расходы, относящиеся непосредственно на уменьшение капитала;3223
Уменьшение номинальной стоимости акций;3224
Уменьшение количества акций;3225
Реорганизация юридического лица;3226
Дивиденды;3227
Изменение добавочного капитала;3230
Изменение резервного капитала;3240
Величина капитала на 31 декабря предыдущего года;3200
Увеличение капитала - всего;3310
Чистая прибыль;3311
Переоценка имущества;3312
Доходы, относящиеся непосредственно на увеличение капитала;3313
Дополнительный выпуск акций;3314
Увеличение номинальной стоимости акций;3315
Реорганизация юридического лица;3316
Уменьшение капитала - всего;3320
Убыток;3321
Переоценка имущества;3322
Расходы, относящиеся непосредственно на уменьшение капитала;3323
Уменьшение номинальной стоимости акций;3324
Уменьшение количества акций;3325
Реорганизация юридического лица;3326
Дивиденды;3327
Изменение добавочного капитала;3330
Изменение резервного капитала;3340
Величина капитала на 31 декабря отчетного года;3300
Капитал всего до корректировок;3400
Корректировка в связи с изменением учетной политики;3410
Корректировка в связи с исправлением ошибок;3420
Капитал всего после корректировок;3500
Нераспределенная прибыль (непокрытый убыток) всего до корректировок;3401
Корректировка в связи с изменением учетной политики;3411
Корректировка в связи с исправлением ошибок;3421
Нераспределенная прибыль (непокрытый убыток) всего после корректировок;3501
Другие статьи капитала, по которым осуществлены корректировки всего до корректировок;3402
Корректировка в связи с изменением учетной политики;3412
Корректировка в связи с исправлением ошибок;3422
Другие статьи капитала, по которым осуществлены корректировки всего после корректировок;3502
Чистые активы;3600
Сальдо денежных потоков за отчетный период;4400
Остаток денежных средств и денежных эквивалентов на начало отчетного периода;4450
Величина влияния изменений курса иностранной валюты по отношению к рублю;4490
